Iteration,Combination,Current Script,Execution Time (seconds),RAM Memory Usage (MB),CPU Usage Per Core,GPU Usage (%),GPU Memory Usage (MB)
1,dp,predict.py,17.652774572372437,1369.140625,"[0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",62,3.244140625
1,p,predict.py,16.556683778762817,1369.859375,"[0.0, 0.0, 0.0, 0.0, 0.0, 54.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 45.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0]",39,13.8056640625
1,s,speech.py,1.7842392921447754,352.94921875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.3, 9.1, 0.0, 0.0, 0.0, 0.0, 30.0]",5,12.888671875
1,d,detect.py,14.600166320800781,1350.5625,"[0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20,13.3173828125
1,pp,predict.py,17.826286554336548,1356.09375,"[0.0, 100.0, 20.0, 30.0, 9.1, 100.0, 0.0, 0.0, 30.0, 27.3, 27.3, 0.0, 9.1, 0.0, 22.2, 9.1, 27.3, 0.0, 0.0, 9.1, 9.1, 27.3, 9.1, 9.1, 11.1, 0.0, 0.0, 16.7, 0.0, 9.1, 0.0, 0.0]",67,14.7060546875
1,pp,predict.py,17.950149536132812,1374.84375,"[90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 63.6, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 16.7, 10.0]",64,14.705078125
1,ps,speech.py,1.7490839958190918,346.91796875,"[0.0, 10.0, 100.0, 0.0, 9.1, 66.7, 50.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 33.3, 0.0, 10.0, 40.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0]",4,12.9130859375
1,ps,predict.py,17.201693534851074,1362.7578125,"[0.0, 20.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 18.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.0, 0.0, 0.0, 70.0, 0.0, 10.0]",41,13.8056640625
1,pd,detect.py,17.249855518341064,1334.5625,"[9.1, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 18.2, 0.0, 0.0, 10.0, 10.0, 9.1, 0.0, 10.0, 0.0, 0.0, 0.0, 18.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 9.1, 0.0, 100.0]",59,14.2265625
1,pd,predict.py,17.598734855651855,1360.30859375,"[0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 88.9, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]",59,14.2265625
1,sp,speech.py,1.7472050189971924,353.3828125,"[0.0, 0.0, 90.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 9.1, 20.0, 0.0, 10.0, 11.1, 0.0, 10.0, 9.1, 9.1, 0.0, 9.1, 100.0, 0.0, 0.0, 88.9, 0.0]",3,12.890625
1,sp,predict.py,17.28234887123108,1380.71484375,"[0.0, 80.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41,13.8125
1,ss,speech.py,1.7717347145080566,350.92578125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 9.1, 100.0, 0.0, 0.0, 0.0, 9.1, 9.1, 18.2, 0.0, 0.0, 0.0, 18.2, 0.0, 100.0]",11,12.892578125
1,ss,speech.py,1.8129236698150635,365.328125,"[0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 100.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]",11,12.892578125
1,sd,speech.py,1.7328906059265137,348.765625,"[9.1, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21,12.892578125
1,sd,detect.py,15.755378007888794,1336.1015625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 50.0, 0.0, 0.0]",39,13.3388671875
