Iteration,Combination,Current Script,Execution Time (seconds),RAM Memory Usage (MB),CPU Usage Per Core,GPU Usage (%),GPU Memory Usage (MB)
1,sd,detect.py,23.47720694541931,1363.35546875,"[0.0, 60.0, 0.0, 0.0, 50.0, 44.4, 50.0, 0.0, 0.0, 9.1, 100.0, 40.0, 0.0, 0.0, 9.1, 50.0, 0.0, 0.0, 16.7, 45.5, 0.0, 0.0, 9.1, 100.0, 44.4, 10.0, 40.0, 10.0, 9.1, 0.0, 0.0, 0.0]",90,4.7216796875
1,sd,speech.py,109.07220315933228,1684.04296875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]",90,4.7216796875
1,dp,detect.py,16.496098518371582,1331.56640625,"[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 9.1, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.3]",55,1.9404296875
1,dp,predict.py,17.17369270324707,1373.671875,"[0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0]",55,1.9404296875
1,ds,detect.py,22.953216552734375,1330.703125,"[0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 18.2, 18.2, 0.0, 0.0, 0.0, 18.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0]",89,4.7216796875
1,ds,speech.py,109.62906980514526,1680.69140625,"[0.0, 0.0, 0.0, 100.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 90.0]",89,4.7216796875
1,dd,detect.py,16.503005981445312,1334.7734375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",58,1.4619140625
1,dd,detect.py,16.555487632751465,1337.55078125,"[0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",58,1.4619140625
1,ppp,predict.py,19.711817502975464,1352.77734375,"[100.0, 0.0, 27.3, 100.0, 0.0, 100.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",74,3.3251953125
1,ppp,predict.py,19.80573081970215,1355.27734375,"[100.0, 0.0, 0.0, 66.7, 0.0, 50.0, 22.2, 22.2, 0.0, 20.0, 0.0, 20.0, 50.0, 0.0, 0.0, 30.0, 0.0, 20.0, 0.0, 36.4, 0.0, 20.0, 20.0, 0.0, 0.0, 0.0, 0.0, 20.0, 33.3, 11.1, 0.0, 0.0]",74,3.3251953125
1,ppp,predict.py,20.07690167427063,1355.20703125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",75,3.3251953125
1,pps,predict.py,31.18077540397644,1359.7109375,"[20.0, 100.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 77.8, 27.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 9.1, 9.1, 60.0, 0.0, 54.5, 11.1, 27.3]",96,6.1064453125
1,pps,predict.py,31.20341944694519,1360.2578125,"[27.3, 100.0, 11.1, 18.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.0, 36.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.7, 0.0, 0.0, 9.1, 10.0, 70.0, 0.0, 60.0, 20.0, 20.0]",98,6.1064453125
1,pps,speech.py,111.26282095909119,1701.28515625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 63.6, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 9.1, 0.0, 0.0, 9.1, 0.0, 9.1, 100.0, 0.0, 0.0, 0.0, 36.4]",96,6.1064453125
