Combination,Application,Waiting_Time
p,p,0.11000
s,s,0.55000
d,d,0.13000
ps,p,0.07000
ps,s,1.03000
pd,d,0.13000
pd,p,0.10000
sd,d,0.13000
sd,s,0.88000
psd,d,0.06000
psd,p,0.09000
psd,s,0.83000
